Vecindario,Latitud,Longitud
Acorn Industrial,0,0
Acorn (neighborhood),37.805370749999994,-122.28589201690795
Adams Point,37.810403,-122.2559026
Allendale,37.78931435,-122.2038168146786
Arroyo Viejo,37.7611838,-122.1783986
Bartlett,37.7890095,-122.2104545
Bella Vista,37.799666099999996,-122.23809826539463
Beulah Heights,0,0
Broadway Valdez District Specific Plan,0,0
Brookfield Village,37.7352072,-122.1860779
Bushrod Neighborhood,37.846041,-122.26318100003456
Caballo Hills,37.78529649689711,-122.16611849853021
Castlemont,37.75906215,-122.16436419621152
Chabot Park,37.7306793,-122.1308361610431
Chinatown,37.7999301,-122.2702386
City Center (Neighborhood),37.80216515,-122.27312778843223
Civic Center,37.8005844,-122.2647345
Claremont Hills,37.86022540044927,-122.2333670211978
Clawson,37.8252051,-122.2819138
Cleveland Heights,37.8045458,-122.2453249
Clinton,37.788084,-122.2604785
Coliseum,37.7539702,-122.1972051
Coliseum Industrial (Neighborhood),37.7459039549442,-122.19359469125382
Columbia Gardens,37.73189137673875,-122.1909011602338
Columbia Park,0,0
Cox,37.74717645,-122.16175593447717
Crestmont,37.8031593,-122.1788356
Crocker Highlands,37.8111055,-122.22754105354133
Dimond District,37.7997827,-122.2145767
Dogtown,37.82448920409414,-122.2882617398484
Downtown Oakland,37.8036295,-122.2715244
Durant Manor,37.74044548451531,-122.15988617058069
Eastmont,37.769095,-122.1721886
Eastmont Hills,37.769926709815905,-122.16429225939959
East Peralta,37.743605349999996,-122.1443052753014
Edgewater,37.7444101,-122.2052082
Elmhurst Park,37.7430707,-122.17443139309697
Embarcadero (Embarcadero Cove) Neighborhood,37.7840498,-122.2432493
Fairfax,37.7778376,-122.2025667
Fairview Park,0,0
Fitchburg,37.754177127453055,-122.18946626843749
Foothill Square (neighborhood),37.743082,-122.14942786688493
Forestland,37.8329861,-122.1899607
Fremont,37.7743098,-122.2086736
Frick,37.7717081,-122.18455520700077
Fruitvale Station (neighborhood),37.7748464,-122.2240955
Gaskill,37.8377904,-122.2797078
Ghosttown,0,0
Glen Echo,37.8201884,-122.2594957
Glen Highlands,37.8111527,-122.2230664
Glenview,37.8072396,-122.2214432
Golden Gate,37.8417776,-122.2827531
Grand Lake,37.8116147,-122.2463535
Grass Valley,37.7522054,-122.1205401
Haddon Hill,37.8049159,-122.2488474
Harrington,37.7818297,-122.2143502
Harrison St.-Oakland Ave.,37.8214791,-122.2506469
Havenscourt,37.7703354,-122.1818811
Hawthorne,37.8206602,-122.2609327
Hegenberger,37.7617309561523,-122.18768740330599
Highland,37.7982203,-122.23138521258551
Highland Park,37.7977056,-122.2274682
Highland Terrace,37.79264857142857,-122.23528257142857
Hiller Highlands,37.853336335652315,-122.23249758199341
Holy Names University,37.8025664,-122.18699165044933
Hoover-Foster,37.8213206,-122.2729445
Iveywood,37.7422003877551,-122.16612834693878
Ivy Hill,37.798500714285716,-122.24979510204082
Jack London Square,37.7957886,-122.2746851
JAMMI,0,0
Jefferson,37.80620125,-122.27475913475504
Jingletown,37.7774018,-122.2344359
Joaquin Miller Park,37.8134792,-122.18516778475717
Koreatown Northgate,37.8163018,-122.2679082
Lakeshore,37.8114508,-122.2427168
Lakeside,37.8038335,-122.2630807
Laney College (neighborhood),37.7942491,-122.26079311014934
Las Palmas,37.74333961511981,-122.15536232364259
Leona Heights (neighborhood),37.79117315,-122.17637398091117
Lincoln Highlands,37.8069813,-122.2065078
Lockwood-Tevis,37.7615953,-122.1966339
Longfellow,37.8330999,-122.2718931
Lower Bottoms,37.8104219,-122.2993142
Lower Dimond,37.803876900000006,-122.21637782516012
Lower Laurel,0,0
Lower Rockridge,0,0
Lynn,37.81358,-122.2469188
Maxwell Park,37.7814412,-122.19984250060345
McClymonds,37.81890385,-122.27990029140764
Meadow Brook,37.833853700000006,-122.2293484877384
Melrose,37.76864369249555,-122.21348551627224
Melrose Heights,37.773365,-122.200899
Merriewood,37.8369221,-122.2123722
Merritt,37.7971763,-122.255271
Mills College,37.779849799999994,-122.18355822709319
Millsmont,37.7753772,-122.1792655
Montclair,37.8267683,-122.2096725
Montclair Village,37.8264836,-122.21005056881074
Mosswood,37.8246406,-122.2638655
Mountain View Cemetery,37.835137149999994,-122.23417156554476
Neighborhood Groups,0,0
NOBE,0,0
Northgate,37.8163018,-122.2679082
North Oakland,37.8329904,-122.2571016
North Stonehurst,37.73817645,-122.17705925692496
Oak Center,37.80929055,-122.2809212239228
Oak Knoll - Golf Links,37.7617798,-122.1567847
Oakland International Airport (Neighborhood),0,0
Oakmore Highlands,37.8082408,-122.2148381
Oak Tree,37.78350866666667,-122.23199377777777
Old Oakland,37.8013168,-122.2746915
Panoramic Hill,37.8690688,-122.2441513
Paradise Park,37.8468188,-122.2847736
Parkridge Estates,0,0
Patten,37.78626765,-122.2195145962088
Peralta Hacienda,37.787316399999995,-122.21699031623402
Piedmont Avenue,37.8276971,-122.2510043
Piedmont Pines,37.8228024,-122.1947694
Pill Hill,37.8207616,-122.2645785
Prescott,37.8044195,-122.2981304
Public Safety Groups,0,0
Ralph Bunche,37.813645300000005,-122.28726388987218
Rancho San Antonio (neighborhood),37.7886892173965,-122.240195828366
Redwood Heights,37.798003699999995,-122.18689042192509
Reservoir Hill,37.822396,-122.2183632
Rockridge,37.8447574,-122.2512573
San Pablo Gateway,37.808924,-122.2738754
Santa Fe,37.2588087,-121.9700023
Sausal Creek (Neighborhood),37.8174894,-122.2096381
School (Neighborhood),37.79334255,-122.24862328979927
Seminary,37.7673181,-122.1999288
Sequoyah,37.760461,-122.1401037
Sheffield Village,37.73489275,-122.13449651798786
Shepherd Canyon,37.8268621,-122.20199688222135
Skyline-Hillcrest Estates,37.79323340039024,-122.16460926227174
Sobrante Park (Neighborhood),37.72671325,-122.17675791917684
South Kennedy Tract,37.768084850979434,-122.22638458551035
South Prescott,37.8044195,-122.2981304
South Stonehurst,37.735076,-122.175828
Spencer,37.7562683,-122.1930931
St. Elizabeth,37.77877465,-122.22204916568111
Temescal,37.8372063,-122.2587377
The Jewel Box,0,0
The Laurel District,37.794672649999995,-122.20122682276329
The TreeHouse,0,0
The Twomps,0,0
Toler Heights,37.75097500002101,-122.15687800001577
Trestle Glen,37.8083755,-122.2381581
Tuxedo,37.77753905,-122.22517658859984
Upper Dimond,37.80639685,-122.21535028546893
Upper Laurel,0,0
Upper Rockridge,37.8450458,-122.2377457
Uptown,37.8092757,-122.2699467
Vernon Heights,0,0
Village Bottoms,37.8104219,-122.2993142
Waverly,37.812502,-122.2628992
Webster,37.7943146,-122.2749349
Wentworth Holland,37.769162,-122.205438
West Oakland,37.8048919,-122.2951752
Wilshire Heights,0,0
Woodland,37.8483988,-122.2128351
Woodminster,37.8115535,-122.1973214
